,title,publication_date,cover_image
155,En femme magazine,1988,https://archive.org/services/img/enfemmemagazine1988unse_3
156,En femme magazine,1988,https://archive.org/services/img/enfemmemagazine1988unse_4
157,F.M.I. Female mimics international,1988,https://archive.org/services/img/fmifemalemimicsi1824unse
158,The TV-TS tapestry,1988,https://archive.org/services/img/tvtstapestry52unse
159,F.M.I. Female mimics international,1988,https://archive.org/services/img/fmifemalemimicsi1754unse
160,Ladylike,1988,https://archive.org/services/img/ladylike02unse
161,F.M.I. Female mimics international,1988,https://archive.org/services/img/fmifemalemimicsi1834unse
162,En femme magazine,1988,https://archive.org/services/img/enfemmemagazine1988unse_2
163,En femme comics,1988,https://archive.org/services/img/enfemmecomics01unse
164,The TV-TS tapestry,1988,https://archive.org/services/img/tvtstapestry51unse
165,F.M.I. Female mimics international,1988,https://archive.org/services/img/fmifemalemimicsi1764unse
166,En femme magazine,1988,https://archive.org/services/img/enfemmemagazine1988unse
167,Ladylike,1988,https://archive.org/services/img/ladylike03unse
168,En femme magazine,1988,https://archive.org/services/img/enfemmemagazine1988unse_0
169,F.M.I. Female mimics international,1988,https://archive.org/services/img/fmifemalemimicsi1844unse
170,F.M.I. Female mimics international,1988,https://archive.org/services/img/fmifemalemimicsi1814unse
171,The TV-TS tapestry,1989,https://archive.org/services/img/tvtstapestry53unse
172,Ladylike,1989,https://archive.org/services/img/ladylike04unse
173,F.M.I. Female mimics international,1989,https://archive.org/services/img/fmifemalemimicsi1915unse
174,En femme magazine,1989,https://archive.org/services/img/enfemmemagazine1989unse_1
175,F.M.I. Female mimics international,1989,https://archive.org/services/img/fmifemalemimicsi1865unse
176,En femme magazine,1989,https://archive.org/services/img/enfemmemagazine1989unse_4
177,F.M.I. Female mimics international,1989,https://archive.org/services/img/fmifemalemimicsi1925unse
178,Ladylike,1989,https://archive.org/services/img/ladylike05unse
179,The TV-TS tapestry,1989,https://archive.org/services/img/tvtstapestry54unse
180,F.M.I. Female mimics international,1989,https://archive.org/services/img/fmifemalemimicsi1854unse
181,F.M.I. Female mimics international,1989,https://archive.org/services/img/fmifemalemimicsi1935unse
182,En femme magazine,1989,https://archive.org/services/img/enfemmemagazine1989unse_0
183,En femme magazine,1989,https://archive.org/services/img/enfemmemagazine1989unse
184,En femme magazine.,1989,https://archive.org/services/img/enfemmemagazine00unse_0
185,F.M.I. Female mimics international,1989,https://archive.org/services/img/fmifemalemimicsi1945unse
186,En femme magazine,1989,https://archive.org/services/img/enfemmemagazine1989unse_2
187,The TV-TS tapestry,1990,https://archive.org/services/img/tvtstapestry55unse
188,En femme magazine,1990,https://archive.org/services/img/enfemmemagazine21unse
189,Ladylike,1990,https://archive.org/services/img/ladylike08unse
190,Ladylike,1990,https://archive.org/services/img/ladylike06unse
191,En femme comics,1990,https://archive.org/services/img/enfemmecomics02unse
192,F.M.I. Female mimics international,1990,https://archive.org/services/img/fmifemalemimicsi2035unse
193,F.M.I. Female mimics international,1990,https://archive.org/services/img/fmifemalemimicsi2015unse
194,En femme magazine,1990,https://archive.org/services/img/enfemmemagazine1990unse_0
195,The TV-TS tapestry,1990,https://archive.org/services/img/tvtstapestry56unse
196,En femme fiction magazine,1990,https://archive.org/services/img/enfemmefictionma13unse
197,F.M.I. Female mimics international,1990,https://archive.org/services/img/fmifemalemimicsi1965unse
198,F.M.I. Female mimics international,1990,https://archive.org/services/img/fmifemalemimicsi1955unse
199,Ladylike,1990,https://archive.org/services/img/ladylike09unse
200,Ladylike,1990,https://archive.org/services/img/ladylike07unse
201,En femme magazine,1990,https://archive.org/services/img/enfemmemagazine1990unse
202,En femme magazine,1990,https://archive.org/services/img/enfemmemagazine20unse
203,En femme magazine,1990,https://archive.org/services/img/enfemmemagazine1990unse_1
204,Handbook: ACT UP San Francisco ACT NOW,1990,https://archive.org/services/img/handbookactupsan00unse
205,En femme magazine,1990,https://archive.org/services/img/enfemmemagazine1990unse_2
206,F.M.I. Female mimics international,1990,https://archive.org/services/img/fmifemalemimicsi2046unse
207,F.M.I. Female mimics international,1990,https://archive.org/services/img/fmifemalemimicsi2025unse
208,The TV-TS tapestry,1991,https://archive.org/services/img/tvtstapestry60unse
209,The TV-TS tapestry,1991,https://archive.org/services/img/tvtstapestry57unse
210,The TV-TS tapestry,1991,https://archive.org/services/img/tvtstapestry59unse
211,Ladylike,1991,https://archive.org/services/img/ladylike12unse
212,Ladylike,1991,https://archive.org/services/img/ladylike10unse
213,F.M.I. Female mimics international,1991,https://archive.org/services/img/fmifemalemimicsi2136unse
214,F.M.I. Female mimics international,1991,https://archive.org/services/img/fmifemalemimicsi2116unse
215,The TV-TS tapestry,1991,https://archive.org/services/img/tvtstapestry61unse
216,F.M.I. Female mimics international,1991,https://archive.org/services/img/fmifemalemimicsi2056unse
217,Ladylike,1991,https://archive.org/services/img/ladylike11unse
218,F.M.I. Female mimics international,1991,https://archive.org/services/img/fmifemalemimicsi2126unse
219,The TV-TS tapestry,1991,https://archive.org/services/img/tvtstapestry58unse
220,F.M.I. Female mimics international,1991,https://archive.org/services/img/fmifemalemimicsi2066unse
221,En femme magazine,1991,https://archive.org/services/img/enfemmemagazine22unse
222,En femme magazine,1991,https://archive.org/services/img/enfemmemagazine25unse
223,En femme magazine,1991,https://archive.org/services/img/enfemmemagazine23unse
224,F.M.I. Female mimics international,1991,https://archive.org/services/img/fmifemalemimicsi2146unse
225,En femme magazine,1991,https://archive.org/services/img/enfemmemagazine24unse
226,International tran script,1991,https://archive.org/services/img/internationaltra11unse
227,F.M.I. Female mimics international,1992,https://archive.org/services/img/fmifemalemimicsi2216unse
228,F.M.I. Female mimics international,1992,https://archive.org/services/img/fmifemalemimicsi2166unse
229,F.M.I. Female mimics international,1992,https://archive.org/services/img/fmifemalemimicsi2247unse
230,The TV-TS tapestry,1992,https://archive.org/services/img/tvtstapestry62unse
231,The TV-TS tapestry,1992,https://archive.org/services/img/tvtstapestry63unse
232,F.M.I. Female mimics international,1992,https://archive.org/services/img/fmifemalemimicsi2237unse
233,Ladylike,1992,https://archive.org/services/img/ladylike14unse
234,Ladylike,1992,https://archive.org/services/img/ladylike15unse
235,International tran script,1992,https://archive.org/services/img/internationaltra21unse
236,Ladylike,1992,https://archive.org/services/img/ladylike13unse
237,F.M.I. Female mimics international,1992,https://archive.org/services/img/fmifemalemimicsi2227unse
238,International tran script,1992,https://archive.org/services/img/internationaltra22unse
239,F.M.I. Female mimics international,1992,https://archive.org/services/img/fmifemalemimicsi2156unse
240,F.M.I. Female mimics international,1993,https://archive.org/services/img/fmifemalemimicsi2257unse
241,TransSisters : the journal of transsexual feminism,1993,https://archive.org/services/img/transsistersjour00unse
242,F.M.I. Female mimics international,1993,https://archive.org/services/img/fmifemalemimicsi2317unse
243,Ladylike,1993,https://archive.org/services/img/ladylike18unse
244,TransSisters : the journal of transsexual feminism,1993,https://archive.org/services/img/transsistersjour00unse_0
245,Ladylike,1993,https://archive.org/services/img/ladylike16unse
246,Ladylike,1993,https://archive.org/services/img/ladylike17unse
247,F.M.I. Female mimics international,1993,https://archive.org/services/img/fmifemalemimicsi2267unse
248,F.M.I. Female mimics international,1993,https://archive.org/services/img/fmifemalemimicsi2337unse
249,F.M.I. Female mimics international,1993,https://archive.org/services/img/fmifemalemimicsi2327unse
250,Ladylike,1993,https://archive.org/services/img/ladylike19unse
251,The TV-TS tapestry,1993,https://archive.org/services/img/tvtstapestry6619unse
252,The TV-TS tapestry,1993,https://archive.org/services/img/tvtstapestry65unse
253,The TV-TS tapestry,1993,https://archive.org/services/img/tvtstapestry64unse
254,Ladylike,1994,https://archive.org/services/img/ladylike21unse
255,TransSisters : the journal of transsexual feminism,1994,https://archive.org/services/img/transsistersjour1994unse
256,TransSisters : the journal of transsexual feminism,1994,https://archive.org/services/img/transsistersjou1994unse_0
257,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2528unse
258,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2448unse
259,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2468unse
260,TransSisters : the journal of transsexual feminism,1994,https://archive.org/services/img/transsistersjou1994unse_1
261,TransSisters : the journal of transsexual feminism,1994,https://archive.org/services/img/transsistersjou1994unse_2
262,The TV-TS tapestry,1994,https://archive.org/services/img/tvtstapestry6719unse
263,The TV-TS tapestry,1994,https://archive.org/services/img/tvtstapestry6819unse
264,The TV-TS tapestry,1994,https://archive.org/services/img/tvtstapestry6919unse
265,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2428unse
266,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2418unse
267,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2417unse
268,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2438unse
269,The TV-TS tapestry,1994,https://archive.org/services/img/tvtstapestry7019unse
270,Ladylike,1994,https://archive.org/services/img/ladylike20unse
271,Ladylike,1994,https://archive.org/services/img/ladylike22unse
272,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2518unse
273,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2368unse
274,F.M.I. Female mimics international,1994,https://archive.org/services/img/fmifemalemimicsi2458unse
275,The TV-TS tapestry,1995,https://archive.org/services/img/tvtstapestry7119unse
276,Ladylike,1995,https://archive.org/services/img/ladylike26unse
277,The TV-TS tapestry,1995,https://archive.org/services/img/tvtstapestry7319unse
278,F.M.I. Female mimics international,1995,https://archive.org/services/img/fmifemalemimicsi2549unse
279,Ladylike,1995,https://archive.org/services/img/ladylike23unse
280,TransSisters : the journal of transsexual feminism,1995,https://archive.org/services/img/transsistersjou1995unse_1
281,TransSisters : the journal of transsexual feminism,1995,https://archive.org/services/img/transsistersjou1995unse_2
282,TransSisters : the journal of transsexual feminism,1995,https://archive.org/services/img/transsistersjour1995unse
283,Ladylike,1995,https://archive.org/services/img/ladylike25unse
284,Transgender tapestry,1995,https://archive.org/services/img/transgendertapes7419unse
285,Ladylike,1995,https://archive.org/services/img/ladylike24unse
286,TransSisters : the journal of transsexual feminism,1995,https://archive.org/services/img/transsistersjou1995unse_0
287,Ladylike,1996,https://archive.org/services/img/ladylike28unse
